Academy of Technology
Arybhatta Institute of Enginneering & Management
Asansol Engineering College
B P Poddar Institute of Management & Technology
Bankura Unnayani Institute of Engineering
Bengal College of Engineering & Technology
Bengal Engineering and Science University
Bengal Institute of Technology
Bengal Institute of Technology & Management
Bengal School of Technology
Bidhan Chandra Krishi Viswa Vidyalaya
Birbhum Institute of Engineering & Technology
Calcutta Inst
Calcutta Institute of Engineering & Management
Calcutta Institute of Technology
College of Engineering & Management, Kolaghat
DRB C RoyCollege of Pharmacy & Allied Health Sci
DR B C Roy Engg College
Dumkal Inst of Engg & Technology
Durgapur Inst of Adv Tech & Management
Future Inst of Engineering & Management
Govt College of Engg & Leather Tech
Govt College of Engg & Textile Technology
GovtCollege of Engineering & Ceramic Technology
Govt Collge of Engg & Textile Tech, Sreerampore
Gupta College of Technological Science
Gurunanak Inst of Pharma Sci & Tech
Gurunanak Inst of Tech
H C Garg Inst of Science & Tech
Haldia Inst of Tech
Heritage Inst of Tech
HooglyEngg & Tech College
IMPSCollege of Engg & Tech
Inst of Tech & Marine Engg
Inst of Engg & Management
Instituteof Jute Tech
Instituteof Pharmacy
JadavpurUniversity
JalpaiguriGovt Engg College
JISCollege of Engg
Kalyani Govt Engg College
Kalyani University Science Instrumentation Centre
Mallabhum Institute of Technology
MCKV Inst of Engineering
Meghnad Saha Inst of Tech
MurshidabadCollege of Engg & Tech
Narula Inst of Technology
National Power Training Inst
Netaji Subhas Chandra Bose Inst of Pharmacy
Netaji Subhas Engg College
RCC Inst of Information Technology
Saroj Mohan Inst of Technology
Siliguri Inst of Technology
ST. Thomas' College of Engg
Techno India
TechnoIndia College of Technology
University Inst of Technology, Burdwan
Uttarbanga Krishi Viswavidyalaya
W B University of Animal & Fishery Sciences
West Bengal University of Technology
BCDA College of Pharmacy & Technology
Bharat Technology
Dream Institute of Technology
Institute of Science & Technology
Seacom Engineering
Bengal Institute of Pharmaceutical Sciences 
Techno India University
Amity University
IIT KGP
IIIT KALYANI
IIM CALCUTTA
IIEST SHIBPUR
ISI CALCUTTA
NIFT CALCUTTA
NUJS CALCUTTA
SOUTH CALCUTTA LAW COLLEGE
FACULTY OF LAW UNIVERSITY OF CALCUTTA
 Acharya Jagadish Chandra Bose College
Acharya Prafulla Chadra College
Anandamohan College
Asutosh College
Azad Hind Fouz Smriti Mahavidyalaya
Bagnan College
Bangabasi College
Bangabasi Evening College
Bangabasi Morning College
Banipur Mahila Mahavidyalaya
Bankim Sardar College
Barasat College (Formerly Barasat Evening College)
Barasat Government  College
Barrackpore Rastraguru Surendranath college
Baruipur College
Basanti Devi College
Basirhat College
Behala College
Bethune College (Govt)
Bhairab Ganguly College
Bhangar Mahavidyalaya
Bidhan Chandra College
Bidhannagar College (Govt.)
Bijoykrishna Girls’ College
Brahmananda Keshab Chandra College
Budge Budge College
Calcutta Girls’ College
Chandraketugarh Sahidullah Smriti Mahavidyalaya
Charu Chandra College
Chittaranjan College
City  College
City College of Commerce & Business Administration
Derozio Memorial College
Deshbandhu College for Girls
Dhrubachand Haldar College
Dinabandhu Andrews College
Dinabandhu Institution
Dinabandhu Mahavidyalaya
Dr. B. R. Ambedkar  Satabarshiki Mahavidyalaya
Dr. Kanailal Bhattacharya College
Dum Dum Motijheel  College
Dum Dum Motijheel  Rabindra Mahavidyalaya
East Calcutta Girls’ College
Fakir Chand College
Gangadharpur Mahavidyamandir
Gobardanga Hindu College
Goenka College of Commerce & Business Administration (Govt.)
Gokhale Memorial Girls’ College
Gourmohan Sachin Mondal Mahavidyalaya
Gurudas College
Harimohan Ghosh College
Heramba Chandra College
Hingalganj Mahavidyalaya
Hiralal Majumdar Memorial College for Women
Institute of Science & Advance Research
Jaypur Panchanan Roy College
Jogamaya Devi College
Jogesh Chandra Chaudhuri College
K.K. Das College
Kalinagar Mahavidyalaya
Khudiram Bose Central College
Kidderpore College
Kingston College Of Science (Self- financed)
Kishore Bharati Bhagini Nivedita (Co-ed) College
Kultali Dr. B .R. Ambedkar College
Lady Brabourne College (Govt.)
Lalbaba College
Loreto College
Magrahat College
Mahadevananda Mahavidyalaya
